p_a,h,i,assortativity
0.6,0.7,3,0.16601285746931863
0.6,0.7,4,0.17128666453318117
0.6,0.7,5,0.15915200960631193
0.6,0.7,6,0.16258610242035365
0.6,0.7,7,0.1810884939142047
0.6,0.7,8,0.16462426092239782
0.6,0.7,9,0.15863343785953402
0.6,0.7,10,0.159461703126003
0.6,0.7,11,0.15773284850262612
0.6,0.7,12,0.16702576077749123
0.6,0.7,13,0.16489835010240741
0.6,0.7,14,0.15934044457328325
0.6,0.7,15,0.16882881835622898
0.6,0.7,16,0.15966448519747017
0.6,0.7,17,0.15137355360595922
0.6,0.7,18,0.16617179438583188
0.6,0.7,19,0.16595596862326
0.6,0.8,0,0.24249574878844904
0.6,0.8,1,0.25367762015454204
0.6,0.8,2,0.24560565390558284
0.6,0.8,3,0.2401513562326406
0.6,0.8,4,0.24918640356210803
0.6,0.8,5,0.24156589963342448
0.6,0.8,6,0.2504001468152469
0.6,0.8,7,0.243598652098302
0.6,0.8,8,0.24866909651090527
0.6,0.8,9,0.25483420471476464
0.6,0.8,10,0.2509964416085193
0.6,0.8,11,0.24275094259346247
0.6,0.8,12,0.2583211456240434
0.6,0.8,13,0.2542017366205067
0.6,0.8,14,0.24229164355557123
0.6,0.8,15,0.24842878691441164
0.6,0.8,16,0.23951820678131203
0.6,0.8,17,0.2472885015658589
0.6,0.8,18,0.24660367256013274
0.6,0.8,19,0.23852388497170654
0.6,0.9,0,0.32822727334065566
0.6,0.9,1,0.3347685098178355
0.6,0.9,2,0.3293167945449875
0.6,0.9,3,0.3282439579685955
0.6,0.9,4,0.32971662775410987
0.6,0.9,5,0.3346409978837801
0.6,0.9,6,0.3311799838070568
0.6,0.9,7,0.3261346074660404
0.6,0.9,8,0.3266140715576918
0.6,0.9,9,0.333837040591281
0.6,0.9,10,0.32838186653959267
0.6,0.9,11,0.32972652942338543
0.6,0.9,12,0.3303342667119154
0.6,0.9,13,0.3330653895530269
0.6,0.9,14,0.3278881277766159
0.6,0.9,15,0.3309637237258165
0.6,0.9,16,0.3278785014945645
0.6,0.9,17,0.327934496858731
0.6,0.9,18,0.33401911872637385
0.6,0.9,19,0.33367742063772526
0.6,1.0,0,0.41782073672225284
0.6,1.0,1,0.41662450749925506
0.6,1.0,2,0.4130983137797522
0.6,1.0,3,0.4223388328230315
0.6,1.0,4,0.4107582933352341
0.6,1.0,5,0.41659239260027314
0.6,1.0,6,0.4186347204872215
0.6,1.0,7,0.408702919933029
0.6,1.0,8,0.41775138584748084
0.6,1.0,9,0.42477942353900133
0.6,1.0,10,0.4138111142510901
0.6,1.0,11,0.41721662497799633
0.6,1.0,12,0.4107469827755924
0.6,1.0,13,0.40506617336852857
0.6,1.0,14,0.41712229669814044
0.6,1.0,15,0.4106192389665994
0.6,1.0,16,0.4141841262278134
0.6,1.0,17,0.40651607449858057
0.6,1.0,18,0.4228859822509171
0.6,1.0,19,0.4204721430906087
0.7,0.5,0,0.003194081371830762
0.7,0.5,1,0.002420191435145932
0.7,0.5,2,-0.0016188742966998456
0.7,0.5,3,0.0009622655876146571
0.7,0.5,4,-0.0009814888768826069
0.7,0.5,5,-0.0031909100546378805
0.7,0.5,6,0.00419338983531239
0.7,0.5,7,0.007156280954596433
0.7,0.5,8,0.01311973626975748
0.7,0.5,9,-0.0023167615227277357
0.7,0.5,10,-0.0035051981004066194
0.7,0.5,11,0.0005255918638955735
0.7,0.5,12,-0.004955915627938082
0.7,0.5,13,-0.009044334383989374
0.7,0.5,14,0.0037781724710631887
0.7,0.5,15,0.007158020124959255
0.7,0.5,16,0.007707977778031932
0.7,0.5,17,-0.0007202865360671464
0.7,0.5,18,-0.0025934865783149835
0.7,0.5,19,-0.00039677361535423074
0.7,0.6,0,0.07134964784455024
0.7,0.6,1,0.06885133399554472
0.7,0.6,2,0.07161338964738048
0.7,0.6,3,0.0754402020837708
0.7,0.6,4,0.06529804121783049
0.7,0.6,5,0.06956948391001785
0.7,0.6,6,0.0711790928503832
0.7,0.6,7,0.07094834513538069
0.7,0.6,8,0.06944425696014493
0.7,0.6,9,0.06532073160673645
0.7,0.6,10,0.07098588080412849
0.7,0.6,11,0.07090921802356054
0.7,0.6,12,0.07538357521135626
0.7,0.6,13,0.0742084690333154
0.7,0.6,14,0.06739438472287723
0.7,0.6,15,0.07019216569907946
0.7,0.6,16,0.06902409460958796
0.7,0.6,17,0.0809501775567951
0.7,0.6,18,0.07112867396594538
0.7,0.6,19,0.07051722246587083
0.7,0.7,0,0.14184324618025795
0.7,0.7,1,0.1488346762645914
0.7,0.7,2,0.1441448781798138
0.7,0.7,3,0.131794146905188
0.7,0.7,4,0.1501325926849454
0.7,0.7,5,0.14730891309251434
0.7,0.7,6,0.14559321652179716
0.7,0.7,7,0.14701478513356897
0.7,0.7,8,0.15561306167025382
0.7,0.7,9,0.1472797584293417
0.7,0.7,10,0.14266901755203984
0.7,0.7,11,0.15235557806383498
0.7,0.7,12,0.1512713124703574
0.7,0.7,13,0.14052313160214963
0.7,0.7,14,0.14725983008660665
