h,h_p,lambda,gamma,run_index,active_set,majority
0.5,0.8,0.0,0.2,5,1291.986,1179.333
0.5,0.8,0.0,0.2,6,1292.498,1196.031
0.5,0.8,0.0,0.2,7,1278.763,1174.065
0.5,0.8,0.0,0.2,8,1220.159,1126.555
0.5,0.8,0.0,0.2,9,1240.765,1154.826
0.5,0.8,0.0,0.3,0,1219.578,1121.592
0.5,0.8,0.0,0.3,1,1231.457,1140.513
0.5,0.8,0.0,0.3,2,1244.066,1144.511
0.5,0.8,0.0,0.3,3,1255.164,1143.874
0.5,0.8,0.0,0.3,4,1218.501,1120.767
0.5,0.8,0.0,0.3,5,1284.567,1171.994
0.5,0.8,0.0,0.3,6,1292.327,1201.168
0.5,0.8,0.0,0.3,7,1280.901,1175.832
0.5,0.8,0.0,0.3,8,1218.546,1123.341
0.5,0.8,0.0,0.3,9,1236.79,1151.038
0.5,0.8,0.0,0.4,0,1216.326,1118.789
0.5,0.8,0.0,0.4,1,1231.948,1137.804
0.5,0.8,0.0,0.4,2,1247.633,1149.628
0.5,0.8,0.0,0.4,3,1253.878,1144.514
0.5,0.8,0.0,0.4,4,1220.556,1122.182
0.5,0.8,0.0,0.4,5,1285.851,1173.89
0.5,0.8,0.0,0.4,6,1292.559,1193.237
0.5,0.8,0.0,0.4,7,1279.612,1172.931
0.5,0.8,0.0,0.4,8,1217.408,1122.535
0.5,0.8,0.0,0.4,9,1239.007,1150.329
0.5,0.8,0.0,0.5,0,1216.731,1118.872
0.5,0.8,0.0,0.5,1,1232.214,1139.811
0.5,0.8,0.0,0.5,2,1244.911,1143.331
0.5,0.8,0.0,0.5,3,1253.3,1142.347
0.5,0.8,0.0,0.5,4,1218.112,1120.449
0.5,0.8,0.0,0.5,5,1287.997,1174.102
0.5,0.8,0.0,0.5,6,1291.109,1192.112
0.5,0.8,0.0,0.5,7,1280.895,1176.257
0.5,0.8,0.0,0.5,8,1214.902,1122.211
0.5,0.8,0.0,0.5,9,1239.631,1153.188
0.5,0.8,0.0,0.6,0,1216.128,1118.557
0.5,0.8,0.0,0.6,1,1230.181,1135.88
0.5,0.8,0.0,0.6,2,1243.443,1142.312
0.5,0.8,0.0,0.6,3,1252.524,1140.952
0.5,0.8,0.0,0.6,4,1220.977,1123.18
0.5,0.8,0.0,0.6,5,1289.229,1177.272
0.5,0.8,0.0,0.6,6,1290.151,1195.09
0.5,0.8,0.0,0.6,7,1278.502,1171.405
0.5,0.8,0.0,0.6,8,1216.351,1122.501
0.5,0.8,0.0,0.6,9,1239.506,1151.733
0.5,0.8,0.0,0.7,0,1219.017,1122.757
