b_p,n,p_M,h,h_p,run_index,active_set,majority
0.01,20000,0.8,0.8,0.5,0,235.7912,207.5512
0.01,20000,0.8,0.8,0.5,1,235.6251,205.8512
0.01,20000,0.8,0.8,0.5,2,234.4296,196.6568
0.01,20000,0.8,0.8,0.5,3,234.6225,198.1542
0.01,20000,0.8,0.8,0.5,4,235.9614,211.8639
0.01,20000,0.8,0.8,0.5,5,234.841,205.8549
0.01,20000,0.8,0.8,0.5,6,236.4025,210.1552
0.01,20000,0.8,0.8,0.5,7,236.2854,199.2671
0.01,20000,0.8,0.8,0.5,8,236.3427,212.3381
0.01,20000,0.8,0.8,0.5,9,235.9544,204.4016
0.01,20000,0.8,0.8,0.5,10,235.5811,202.9523
0.01,20000,0.8,0.8,0.5,11,235.9153,208.1622
0.01,20000,0.8,0.8,0.5,12,236.5989,208.129
0.01,20000,0.8,0.8,0.5,13,235.3672,193.8541
0.01,20000,0.8,0.8,0.5,14,235.3898,203.3181
0.01,20000,0.8,0.8,0.5,15,235.568,209.5017
0.01,20000,0.8,0.8,0.5,16,234.5797,197.0074
0.01,20000,0.8,0.8,0.5,17,235.5822,213.2783
0.01,20000,0.8,0.8,0.5,18,236.0343,202.6942
0.01,20000,0.8,0.8,0.5,19,236.9489,206.632
0.01,20000,0.8,0.8,0.6,0,236.8313,215.8329
0.01,20000,0.8,0.8,0.6,1,236.3432,215.989
0.01,20000,0.8,0.8,0.6,2,235.1123,209.7085
0.01,20000,0.8,0.8,0.6,3,235.5204,210.2484
0.01,20000,0.8,0.8,0.6,4,236.9898,220.178
0.01,20000,0.8,0.8,0.6,5,235.9767,219.4303
0.01,20000,0.8,0.8,0.6,6,237.2983,219.2115
0.01,20000,0.8,0.8,0.6,7,237.0354,209.3339
0.01,20000,0.8,0.8,0.6,8,237.4556,222.8212
0.01,20000,0.8,0.8,0.6,9,236.6866,218.61
0.01,20000,0.8,0.8,0.6,10,236.4867,218.3337
0.01,20000,0.8,0.8,0.6,11,236.9594,216.7563
0.01,20000,0.8,0.8,0.6,12,237.5568,219.3852
0.01,20000,0.8,0.8,0.6,13,236.0026,207.6846
0.01,20000,0.8,0.8,0.6,14,236.0708,212.4786
0.01,20000,0.8,0.8,0.6,15,236.4902,221.7307
0.01,20000,0.8,0.8,0.6,16,235.3264,216.2028
0.01,20000,0.8,0.8,0.6,17,236.7825,221.7627
0.01,20000,0.8,0.8,0.6,18,236.6784,211.488
0.01,20000,0.8,0.8,0.6,19,237.9803,217.9896
0.01,20000,0.8,0.8,0.7,0,237.6623,224.8194
0.01,20000,0.8,0.8,0.7,1,237.2684,225.2362
0.01,20000,0.8,0.8,0.7,2,236.0083,219.7427
0.01,20000,0.8,0.8,0.7,3,236.2995,220.2112
0.01,20000,0.8,0.8,0.7,4,238.075,225.1688
0.01,20000,0.8,0.8,0.7,5,237.0025,225.4015
0.01,20000,0.8,0.8,0.7,6,238.3245,224.2318
0.01,20000,0.8,0.8,0.7,7,237.4817,218.0707
0.01,20000,0.8,0.8,0.7,8,238.489,227.9332
0.01,20000,0.8,0.8,0.7,9,237.5012,222.4177
0.01,20000,0.8,0.8,0.7,10,237.421,224.4889
0.01,20000,0.8,0.8,0.7,11,237.968,220.8179
0.01,20000,0.8,0.8,0.7,12,238.5304,227.5524
0.01,20000,0.8,0.8,0.7,13,236.8385,219.6887
0.01,20000,0.8,0.8,0.7,14,236.8649,221.389
0.01,20000,0.8,0.8,0.7,15,237.5634,227.9168
0.01,20000,0.8,0.8,0.7,16,236.3441,223.4138
0.01,20000,0.8,0.8,0.7,17,237.6722,227.8794
0.01,20000,0.8,0.8,0.7,18,237.5594,217.2837
0.01,20000,0.8,0.8,0.7,19,238.9494,227.1884
0.01,20000,0.8,0.8,0.8,0,238.5905,229.7489
0.01,20000,0.8,0.8,0.8,1,237.9299,228.8049
0.01,20000,0.8,0.8,0.8,2,236.7652,223.3558
0.01,20000,0.8,0.8,0.8,3,237.1404,227.0726
0.01,20000,0.8,0.8,0.8,4,239.1764,231.1914
0.01,20000,0.8,0.8,0.8,5,237.9813,231.3526
0.01,20000,0.8,0.8,0.8,6,239.3089,228.9996
0.01,20000,0.8,0.8,0.8,7,238.3651,223.9352
0.01,20000,0.8,0.8,0.8,8,239.5236,232.8606
0.01,20000,0.8,0.8,0.8,9,238.3235,228.2929
0.01,20000,0.8,0.8,0.8,10,238.1254,230.2131
0.01,20000,0.8,0.8,0.8,11,238.9439,229.8381
0.01,20000,0.8,0.8,0.8,12,239.3745,230.3075
0.01,20000,0.8,0.8,0.8,13,237.6738,226.5715
0.01,20000,0.8,0.8,0.8,14,237.6444,226.0017
0.01,20000,0.8,0.8,0.8,15,238.705,231.9988
0.01,20000,0.8,0.8,0.8,16,237.155,229.1916
0.01,20000,0.8,0.8,0.8,17,238.6399,231.7823
0.01,20000,0.8,0.8,0.8,18,238.2147,221.6566
0.01,20000,0.8,0.8,0.8,19,239.8587,231.9836
0.01,20000,0.8,0.8,0.9,0,239.5188,237.8003
0.01,20000,0.8,0.8,0.9,1,238.6184,231.2653
0.01,20000,0.8,0.8,0.9,2,237.5245,229.0063
0.01,20000,0.8,0.8,0.9,3,238.0139,230.663
0.01,20000,0.8,0.8,0.9,4,240.0737,233.7997
0.01,20000,0.8,0.8,0.9,5,238.9801,233.9771
0.01,20000,0.8,0.8,0.9,6,240.0068,231.3711
0.01,20000,0.8,0.8,0.9,7,239.0333,230.619
0.01,20000,0.8,0.8,0.9,8,240.418,236.5362
0.01,20000,0.8,0.8,0.9,9,239.1507,233.0019
0.01,20000,0.8,0.8,0.9,10,239.0267,233.9421
