b_p,network,h_p,offset,run_index,active_set,majority
0.01,hersheycareers,0.8,-30,0,321.0156,208.7865
0.01,hersheycareers,0.8,-30,1,321.0339,208.9021
0.01,hersheycareers,0.8,-30,2,321.0155,208.9269
0.01,hersheycareers,0.8,-30,3,320.8132,208.7662
0.01,hersheycareers,0.8,-30,4,321.1247,208.9416
0.01,hersheycareers,0.8,-30,5,320.9275,208.8349
0.01,hersheycareers,0.8,-30,6,320.9587,208.9543
0.01,hersheycareers,0.8,-30,7,320.9679,208.9088
0.01,hersheycareers,0.8,-30,8,320.9343,208.8787
0.01,hersheycareers,0.8,-30,9,320.9001,208.8044
0.01,hersheycareers,0.8,-20,0,320.6389,218.0151
0.01,hersheycareers,0.8,-20,1,320.5062,217.8032
0.01,hersheycareers,0.8,-20,2,320.4751,217.8324
0.01,hersheycareers,0.8,-20,3,320.748,218.088
0.01,hersheycareers,0.8,-20,4,320.472,217.8429
0.01,hersheycareers,0.8,-20,5,320.4394,217.8182
0.01,hersheycareers,0.8,-20,6,320.5949,217.976
0.01,hersheycareers,0.8,-20,7,320.5275,217.9192
0.01,hersheycareers,0.8,-20,8,320.55,217.8851
0.01,hersheycareers,0.8,-20,9,320.52,217.895
0.01,hersheycareers,0.8,-10,0,320.1006,226.6017
0.01,hersheycareers,0.8,-10,1,320.0511,226.5264
0.01,hersheycareers,0.8,-10,2,319.9785,226.4343
0.01,hersheycareers,0.8,-10,3,320.0727,226.6254
0.01,hersheycareers,0.8,-10,4,320.0837,226.5697
0.01,hersheycareers,0.8,-10,5,320.188,226.7088
0.01,hersheycareers,0.8,-10,6,320.2102,226.5795
0.01,hersheycareers,0.8,-10,7,320.0378,226.5259
0.01,hersheycareers,0.8,-10,8,320.1194,226.7082
0.01,hersheycareers,0.8,-10,9,320.1447,226.6196
0.01,hersheycareers,0.8,0,0,319.0488,235.1482
0.01,hersheycareers,0.8,0,1,319.1456,235.212
0.01,hersheycareers,0.8,0,2,319.2184,235.2318
0.01,hersheycareers,0.8,0,3,319.1139,235.1626
0.01,hersheycareers,0.8,0,4,319.2715,235.3123
0.01,hersheycareers,0.8,0,5,319.1932,235.2333
0.01,hersheycareers,0.8,0,6,319.0546,235.1518
0.01,hersheycareers,0.8,0,7,319.2443,235.3709
0.01,hersheycareers,0.8,0,8,319.1112,235.2079
0.01,hersheycareers,0.8,0,9,319.2109,235.2265
0.01,hersheycareers,0.8,10,0,318.246,243.8459
0.01,hersheycareers,0.8,10,1,318.0385,243.5428
0.01,hersheycareers,0.8,10,2,318.3175,243.8489
0.01,hersheycareers,0.8,10,3,318.1768,243.657
0.01,hersheycareers,0.8,10,4,318.1773,243.7351
0.01,hersheycareers,0.8,10,5,318.2222,243.759
0.01,hersheycareers,0.8,10,6,318.2041,243.6543
0.01,hersheycareers,0.8,10,7,318.2254,243.7837
0.01,hersheycareers,0.8,10,8,318.1588,243.6541
0.01,hersheycareers,0.8,10,9,318.1978,243.7398
0.01,hersheycareers,0.8,20,0,317.0457,252.4568
0.01,hersheycareers,0.8,20,1,317.2923,252.7329
0.01,hersheycareers,0.8,20,2,317.2306,252.6815
0.01,hersheycareers,0.8,20,3,317.3321,252.6639
0.01,hersheycareers,0.8,20,4,317.2222,252.6748
0.01,hersheycareers,0.8,20,5,317.2181,252.6477
0.01,hersheycareers,0.8,20,6,317.3928,252.6904
0.01,hersheycareers,0.8,20,7,317.3646,252.7832
0.01,hersheycareers,0.8,20,8,317.3676,252.7625
0.01,hersheycareers,0.8,20,9,317.3965,252.8105
