b_p,network,h_p,offset,run_index,active_set,majority
0.01,verizoncareers,0.8,-30,9,515.7338,393.0455
0.01,verizoncareers,0.8,-20,0,518.0059,404.1457
0.01,verizoncareers,0.8,-20,1,518.2035,404.3524
0.01,verizoncareers,0.8,-20,2,518.1495,404.1897
0.01,verizoncareers,0.8,-20,3,518.0848,404.2155
0.01,verizoncareers,0.8,-20,4,518.1735,404.3051
0.01,verizoncareers,0.8,-20,5,518.0461,404.1926
0.01,verizoncareers,0.8,-20,6,518.0345,404.2036
0.01,verizoncareers,0.8,-20,7,517.9575,404.1506
0.01,verizoncareers,0.8,-20,8,518.1195,404.3424
0.01,verizoncareers,0.8,-20,9,518.3633,404.4709
0.01,verizoncareers,0.8,-10,0,518.3235,413.3904
0.01,verizoncareers,0.8,-10,1,518.7259,413.872
0.01,verizoncareers,0.8,-10,2,518.2289,413.2832
0.01,verizoncareers,0.8,-10,3,518.6308,413.6988
0.01,verizoncareers,0.8,-10,4,518.4356,413.6249
0.01,verizoncareers,0.8,-10,5,518.2579,413.541
0.01,verizoncareers,0.8,-10,6,518.585,413.7205
0.01,verizoncareers,0.8,-10,7,518.0433,413.2259
0.01,verizoncareers,0.8,-10,8,518.3667,413.475
0.01,verizoncareers,0.8,-10,9,518.4003,413.626
0.01,verizoncareers,0.8,0,0,519.4243,423.3424
0.01,verizoncareers,0.8,0,1,519.9256,423.8327
0.01,verizoncareers,0.8,0,2,519.7939,423.7611
0.01,verizoncareers,0.8,0,3,519.8047,423.651
0.01,verizoncareers,0.8,0,4,519.7133,423.5824
0.01,verizoncareers,0.8,0,5,519.6711,423.5725
0.01,verizoncareers,0.8,0,6,519.7641,423.5478
0.01,verizoncareers,0.8,0,7,519.7715,423.6563
0.01,verizoncareers,0.8,0,8,519.4444,423.3132
0.01,verizoncareers,0.8,0,9,519.5017,423.34
0.01,verizoncareers,0.8,10,0,519.0813,432.1957
0.01,verizoncareers,0.8,10,1,518.7151,432.0208
0.01,verizoncareers,0.8,10,2,518.8688,432.1339
0.01,verizoncareers,0.8,10,3,519.1223,432.2949
0.01,verizoncareers,0.8,10,4,518.9614,432.0959
0.01,verizoncareers,0.8,10,5,519.047,432.2357
0.01,verizoncareers,0.8,10,6,518.9881,432.0455
0.01,verizoncareers,0.8,10,7,519.176,432.4314
0.01,verizoncareers,0.8,10,8,519.0135,432.121
0.01,verizoncareers,0.8,10,9,518.9388,432.235
0.01,verizoncareers,0.8,20,0,518.4169,441.1616
0.01,verizoncareers,0.8,20,1,518.4206,441.1024
0.01,verizoncareers,0.8,20,2,518.2613,441.0305
0.01,verizoncareers,0.8,20,3,517.9551,440.8384
0.01,verizoncareers,0.8,20,4,518.4804,441.0357
0.01,verizoncareers,0.8,20,5,518.1855,440.8693
0.01,verizoncareers,0.8,20,6,518.014,440.8367
0.01,verizoncareers,0.8,20,7,517.9913,440.7953
0.01,verizoncareers,0.8,20,8,518.1953,441.0157
0.01,verizoncareers,0.8,20,9,518.2511,441.0367
0.01,verizoncareers,0.8,30,0,516.7064,449.889
0.01,verizoncareers,0.8,30,1,516.7543,450.0275
0.01,verizoncareers,0.8,30,2,516.4926,449.6499
0.01,verizoncareers,0.8,30,3,516.7951,449.9376
0.01,verizoncareers,0.8,30,4,516.6727,449.8516
0.01,verizoncareers,0.8,30,5,516.6555,449.8381
0.01,verizoncareers,0.8,30,6,516.6653,449.8565
0.01,verizoncareers,0.8,30,7,516.6597,449.8159
0.01,verizoncareers,0.8,30,8,516.439,449.7113
0.01,verizoncareers,0.8,30,9,516.8346,449.9538
0.01,verizoncareers,0.8,40,0,507.9786,455.1163
0.01,verizoncareers,0.8,40,1,508.1099,455.2397
0.01,verizoncareers,0.8,40,2,508.193,455.3328
0.01,verizoncareers,0.8,40,3,508.3007,455.4726
0.01,verizoncareers,0.8,40,4,507.7565,455.0105
0.01,verizoncareers,0.8,40,5,508.1379,455.4087
0.01,verizoncareers,0.8,40,6,508.2436,455.4409
0.01,verizoncareers,0.8,40,7,507.8938,455.0237
0.01,verizoncareers,0.8,40,8,508.1845,455.3284
0.01,verizoncareers,0.8,40,9,508.1465,455.3107
0.01,verizoncareers,0.8,50,0,2565.1942,474.0882
0.01,verizoncareers,0.8,50,1,2565.1363,474.0384
0.01,verizoncareers,0.8,50,2,2565.3145,474.2105
0.01,verizoncareers,0.8,50,3,2564.9232,473.8242
0.01,verizoncareers,0.8,50,4,2565.2567,474.1509
0.01,verizoncareers,0.8,50,5,2565.0614,473.9629
0.01,verizoncareers,0.8,50,6,2565.099,473.998
0.01,verizoncareers,0.8,50,7,2564.8391,473.7331
0.01,verizoncareers,0.8,50,8,2565.2456,474.1465
0.01,verizoncareers,0.8,50,9,2565.3718,474.2689
0.01,verizoncareers,0.8,60,0,2563.9729,482.7827
0.01,verizoncareers,0.8,60,1,2564.1834,482.9882
0.01,verizoncareers,0.8,60,2,2564.2258,483.0347
0.01,verizoncareers,0.8,60,3,2564.4466,483.2527
0.01,verizoncareers,0.8,60,4,2564.2963,483.1125
0.01,verizoncareers,0.8,60,5,2564.2899,483.1028
0.01,verizoncareers,0.8,60,6,2564.2936,483.1015
0.01,verizoncareers,0.8,60,7,2564.012,482.8202
0.01,verizoncareers,0.8,60,8,2564.511,483.3293
0.01,verizoncareers,0.8,60,9,2564.5557,483.3683
