b_p,n,p_M,h,run_index,active_set,majority
0.01,20000,0.6,0.9,15,233.6604,140.028
0.01,20000,0.6,0.9,16,235.0098,158.8855
0.01,20000,0.6,0.9,17,235.7447,147.642
0.01,20000,0.6,0.9,18,234.7152,148.7554
0.01,20000,0.6,0.9,19,234.8017,146.6457
0.01,20000,0.6,1.0,0,234.2286,141.3796
0.01,20000,0.6,1.0,1,234.2973,150.9765
0.01,20000,0.6,1.0,2,233.8277,152.1997
0.01,20000,0.6,1.0,3,234.6981,158.9077
0.01,20000,0.6,1.0,4,233.359,143.8248
0.01,20000,0.6,1.0,5,233.9856,151.0126
0.01,20000,0.6,1.0,6,233.7625,155.4762
0.01,20000,0.6,1.0,7,234.9678,160.3461
0.01,20000,0.6,1.0,8,234.691,152.1754
0.01,20000,0.6,1.0,9,234.5633,160.1262
0.01,20000,0.6,1.0,10,233.4451,148.8851
0.01,20000,0.6,1.0,11,234.6834,158.1901
0.01,20000,0.6,1.0,12,234.1475,162.2633
0.01,20000,0.6,1.0,13,233.0418,146.6865
0.01,20000,0.6,1.0,14,235.7183,149.7599
0.01,20000,0.6,1.0,15,232.7446,141.4435
0.01,20000,0.6,1.0,16,235.4617,144.6294
0.01,20000,0.6,1.0,17,236.152,160.9693
0.01,20000,0.6,1.0,18,232.676,150.816
0.01,20000,0.6,1.0,19,234.2711,146.8704
0.01,20000,0.7,0.5,0,233.4549,170.3939
0.01,20000,0.7,0.5,1,234.6423,164.1487
0.01,20000,0.7,0.5,2,233.5174,157.2681
0.01,20000,0.7,0.5,3,235.1052,163.8992
0.01,20000,0.7,0.5,4,234.0162,157.8073
0.01,20000,0.7,0.5,5,234.8882,170.7117
0.01,20000,0.7,0.5,6,234.6139,165.6044
0.01,20000,0.7,0.5,7,234.1115,163.1638
0.01,20000,0.7,0.5,8,233.7163,154.6383
0.01,20000,0.7,0.5,9,234.4045,165.6967
0.01,20000,0.7,0.5,10,233.7883,167.541
0.01,20000,0.7,0.5,11,233.6243,163.525
0.01,20000,0.7,0.5,12,234.0406,179.7468
0.01,20000,0.7,0.5,13,234.2832,158.118
0.01,20000,0.7,0.5,14,233.7268,157.1079
0.01,20000,0.7,0.5,15,234.5606,158.1678
0.01,20000,0.7,0.5,16,233.5393,154.2382
0.01,20000,0.7,0.5,17,234.3704,177.8617
0.01,20000,0.7,0.5,18,233.263,155.8087
0.01,20000,0.7,0.5,19,233.3404,166.5092
0.01,20000,0.7,0.6,0,234.2487,169.2504
0.01,20000,0.7,0.6,1,234.4171,167.2834
0.01,20000,0.7,0.6,2,234.2143,165.0425
0.01,20000,0.7,0.6,3,235.524,172.6257
0.01,20000,0.7,0.6,4,233.7368,157.5944
0.01,20000,0.7,0.6,5,233.4534,173.9765
0.01,20000,0.7,0.6,6,235.9995,182.452
0.01,20000,0.7,0.6,7,235.0192,168.4143
0.01,20000,0.7,0.6,8,233.3855,165.705
0.01,20000,0.7,0.6,9,235.7776,167.1738
0.01,20000,0.7,0.6,10,234.2112,172.9319
0.01,20000,0.7,0.6,11,234.3901,177.9999
0.01,20000,0.7,0.6,12,234.7848,170.0794
0.01,20000,0.7,0.6,13,234.4822,175.3114
0.01,20000,0.7,0.6,14,234.9405,160.1148
0.01,20000,0.7,0.6,15,233.9085,164.466
0.01,20000,0.7,0.6,16,233.6945,160.5126
0.01,20000,0.7,0.6,17,235.5671,171.9614
0.01,20000,0.7,0.6,18,232.0495,168.8404
0.01,20000,0.7,0.6,19,234.3256,167.8383
0.01,20000,0.7,0.7,0,234.6687,173.7873
