b_p,n,p_M,run_index,active_set,majority
0.05,20000,0.5,11,413.0585,205.0236
0.05,20000,0.5,12,406.648,204.2091
0.05,20000,0.5,13,420.7099,229.1566
0.05,20000,0.5,14,404.7949,204.0156
0.05,20000,0.5,15,414.6759,196.9846
0.05,20000,0.5,16,410.231,205.5109
0.05,20000,0.5,17,418.408,208.0136
0.05,20000,0.5,18,411.2977,213.8427
0.05,20000,0.5,19,414.7635,203.7918
0.05,20000,0.6,0,416.8713,244.888
0.05,20000,0.6,1,409.7332,242.4259
0.05,20000,0.6,2,404.5347,250.2072
0.05,20000,0.6,3,412.5249,249.9229
0.05,20000,0.6,4,412.7042,230.2656
0.05,20000,0.6,5,407.9006,249.8729
0.05,20000,0.6,6,421.0341,254.6607
0.05,20000,0.6,7,405.2112,242.0368
0.05,20000,0.6,8,408.7495,253.2901
0.05,20000,0.6,9,413.0438,250.3909
0.05,20000,0.6,10,409.278,240.1787
0.05,20000,0.6,11,409.1455,246.9281
0.05,20000,0.6,12,415.7049,256.3854
0.05,20000,0.6,13,417.1676,252.2829
0.05,20000,0.6,14,420.4135,254.3926
0.05,20000,0.6,15,412.5566,250.8192
0.05,20000,0.6,16,422.2596,259.2505
0.05,20000,0.6,17,419.293,254.3944
0.05,20000,0.6,18,415.2696,244.1302
0.05,20000,0.6,19,416.5253,248.1868
0.05,20000,0.7,0,413.5726,285.7269
0.05,20000,0.7,1,415.682,275.3281
0.05,20000,0.7,2,402.6691,280.1988
0.05,20000,0.7,3,427.7714,296.4065
0.05,20000,0.7,4,416.7381,292.0365
0.05,20000,0.7,5,411.0631,297.9352
0.05,20000,0.7,6,413.5974,303.4982
0.05,20000,0.7,7,401.6653,284.9042
0.05,20000,0.7,8,420.4859,294.1938
0.05,20000,0.7,9,413.3514,298.1897
0.05,20000,0.7,10,409.5537,284.2122
0.05,20000,0.7,11,410.6864,280.0469
0.05,20000,0.7,12,415.6975,286.3851
0.05,20000,0.7,13,415.8051,301.2898
0.05,20000,0.7,14,409.7997,293.3628
0.05,20000,0.7,15,409.4885,288.6117
0.05,20000,0.7,16,409.384,291.2157
0.05,20000,0.7,17,409.6805,295.4625
0.05,20000,0.7,18,404.3934,290.0739
0.05,20000,0.7,19,412.0875,294.7491
0.05,20000,0.8,0,415.9315,330.252
0.05,20000,0.8,1,408.8829,318.953
0.05,20000,0.8,2,415.9347,326.5258
0.05,20000,0.8,3,414.4003,332.5827
0.05,20000,0.8,4,412.0378,334.6021
0.05,20000,0.8,5,413.5537,339.0513
0.05,20000,0.8,6,408.8673,306.3657
0.05,20000,0.8,7,410.4116,332.6538
0.05,20000,0.8,8,415.0539,321.0542
0.05,20000,0.8,9,412.7309,319.7967
0.05,20000,0.8,10,410.5422,327.7672
0.05,20000,0.8,11,413.1872,337.5781
0.05,20000,0.8,12,409.4985,321.4344
0.05,20000,0.8,13,415.4064,330.5061
0.05,20000,0.8,14,416.5098,325.9539
0.05,20000,0.8,15,405.8512,321.8623
0.05,20000,0.8,16,424.9977,345.9076
0.05,20000,0.8,17,403.1347,319.081
0.05,20000,0.8,18,409.9869,326.8172
0.05,20000,0.8,19,415.5206,329.4817
0.1,15000,0.5,0,590.0792,287.9683
0.1,15000,0.5,1,576.2206,285.2733
0.1,15000,0.5,2,592.779,300.4139
0.1,15000,0.5,3,588.7238,298.6068
0.1,15000,0.5,4,581.2394,291.2958
0.1,15000,0.5,5,601.4905,289.32
0.1,15000,0.5,6,584.8103,290.7659
0.1,15000,0.5,7,570.3133,282.1072
0.1,15000,0.5,8,586.886,299.143
0.1,15000,0.5,9,590.2168,289.3533
0.1,15000,0.5,10,594.5465,304.6665
0.1,15000,0.5,11,586.2773,285.2258
0.1,15000,0.5,12,594.6337,297.987
0.1,15000,0.5,13,583.3921,287.4714
0.1,15000,0.5,14,594.7784,304.2791
0.1,15000,0.5,15,588.7453,296.575
0.1,15000,0.5,16,592.2376,294.6148
0.1,15000,0.5,17,589.8149,295.5655
0.1,15000,0.5,18,594.3422,294.5315
0.1,15000,0.5,19,604.1718,299.2879
0.1,15000,0.6,0,582.5735,337.9603
0.1,15000,0.6,1,574.3181,333.9239
0.1,15000,0.6,2,601.5702,377.0444
0.1,15000,0.6,3,599.5456,364.3124
0.1,15000,0.6,4,616.5426,359.322
0.1,15000,0.6,5,597.2164,343.3282
0.1,15000,0.6,6,577.8862,351.8499
0.1,15000,0.6,7,592.2257,347.9954
0.1,15000,0.6,8,592.5381,364.46
0.1,15000,0.6,9,612.8025,377.1355
0.1,15000,0.6,10,591.9145,340.3053
0.1,15000,0.6,11,598.7937,365.0147
0.1,15000,0.6,12,591.0025,361.0036
0.1,15000,0.6,13,588.4423,353.6811
0.1,15000,0.6,14,586.7844,350.8874
0.1,15000,0.6,15,589.7142,369.5733
0.1,15000,0.6,16,597.5137,354.3344
0.1,15000,0.6,17,594.6148,372.5133
0.1,15000,0.6,18,585.6661,354.5903
0.1,15000,0.6,19,586.1114,351.6679
0.1,15000,0.7,0,583.8891,417.8108
0.1,15000,0.7,1,595.0936,412.1236
0.1,15000,0.7,2,592.7434,427.7978
0.1,15000,0.7,3,603.3,422.9972
0.1,15000,0.7,4,592.3651,412.0888
0.1,15000,0.7,5,596.6437,419.9425
0.1,15000,0.7,6,591.4752,420.8786
0.1,15000,0.7,7,597.6336,404.8301
0.1,15000,0.7,8,597.8772,410.3996
0.1,15000,0.7,9,585.3018,402.0473
0.1,15000,0.7,10,600.9736,417.9382
0.1,15000,0.7,11,578.909,407.7602
0.1,15000,0.7,12,609.9929,438.6485
0.1,15000,0.7,13,593.6422,407.7662
0.1,15000,0.7,14,590.4797,411.0853
0.1,15000,0.7,15,561.2062,396.0464
0.1,15000,0.7,16,589.5628,421.8949
0.1,15000,0.7,17,580.5585,404.4946
0.1,15000,0.7,18,579.1658,406.8114
0.1,15000,0.7,19,592.3213,416.9981
0.1,15000,0.8,0,589.1872,473.0083
0.1,15000,0.8,1,595.2578,470.2821
0.1,15000,0.8,2,592.9372,478.8378
0.1,15000,0.8,3,567.9758,452.9668
0.1,15000,0.8,4,593.9997,482.4198
0.1,15000,0.8,5,592.3588,484.2864
0.1,15000,0.8,6,591.0652,475.2031
0.1,15000,0.8,7,584.5033,478.0191
0.1,15000,0.8,8,592.6656,473.6335
0.1,15000,0.8,9,597.9219,478.7556
0.1,15000,0.8,10,594.5777,480.613
0.1,15000,0.8,11,581.0573,453.9022
0.1,15000,0.8,12,601.8299,473.1319
0.1,15000,0.8,13,593.8265,477.7853
0.1,15000,0.8,14,585.5345,472.9905
0.1,15000,0.8,15,584.7415,463.5448
0.1,15000,0.8,16,604.4305,481.7204
0.1,15000,0.8,17,593.5222,468.2858
0.1,15000,0.8,18,581.4971,472.7461
0.1,15000,0.8,19,603.6477,482.2173
0.1,20000,0.5,0,666.7403,344.8889
0.1,20000,0.5,1,655.8794,320.4152
0.1,20000,0.5,2,655.6485,327.1595
0.1,20000,0.5,3,665.8383,338.0092
0.1,20000,0.5,4,661.0387,338.9167
0.1,20000,0.5,5,645.5465,336.9672
0.1,20000,0.5,6,646.5993,325.0834
0.1,20000,0.5,7,648.101,333.9391
0.1,20000,0.5,8,657.7442,321.9832
0.1,20000,0.5,9,648.1514,332.4086
0.1,20000,0.5,10,656.7005,340.5363
0.1,20000,0.5,11,660.2899,322.1535
0.1,20000,0.5,12,651.4739,319.947
0.1,20000,0.5,13,679.4201,357.7938
0.1,20000,0.5,14,645.9075,320.4622
0.1,20000,0.5,15,663.1544,323.754
0.1,20000,0.5,16,653.2575,327.1092
0.1,20000,0.5,17,671.3311,332.7584
0.1,20000,0.5,18,658.539,335.5782
0.1,20000,0.5,19,662.1014,324.5807
0.1,20000,0.6,0,667.351,398.3669
0.1,20000,0.6,1,651.499,388.2212
0.1,20000,0.6,2,643.9596,397.2104
0.1,20000,0.6,3,658.8153,391.4555
0.1,20000,0.6,4,660.3227,379.9339
0.1,20000,0.6,5,648.7197,395.9525
0.1,20000,0.6,6,677.6818,411.4236
0.1,20000,0.6,7,644.7723,385.8874
0.1,20000,0.6,8,651.3153,398.7513
0.1,20000,0.6,9,657.7945,394.5475
0.1,20000,0.6,10,659.9453,396.803
0.1,20000,0.6,11,657.0807,395.7792
0.1,20000,0.6,12,667.8556,404.7758
0.1,20000,0.6,13,672.6734,407.7254
0.1,20000,0.6,14,673.8069,405.2556
0.1,20000,0.6,15,658.1324,397.1685
0.1,20000,0.6,16,682.3304,415.0832
0.1,20000,0.6,17,672.6197,412.9303
0.1,20000,0.6,18,664.5452,391.828
0.1,20000,0.6,19,670.1627,389.7245
0.1,20000,0.7,0,663.0925,462.3839
0.1,20000,0.7,1,664.9633,454.0651
0.1,20000,0.7,2,638.6052,440.5952
0.1,20000,0.7,3,692.3771,483.7804
0.1,20000,0.7,4,670.0512,468.844
0.1,20000,0.7,5,656.5712,466.2955
0.1,20000,0.7,6,663.6733,480.6432
0.1,20000,0.7,7,636.0515,444.3088
0.1,20000,0.7,8,676.3188,475.429
0.1,20000,0.7,9,662.7926,470.1106
0.1,20000,0.7,10,652.5611,452.806
0.1,20000,0.7,11,660.4798,455.8234
0.1,20000,0.7,12,664.5115,457.6003
0.1,20000,0.7,13,667.3673,480.8169
0.1,20000,0.7,14,653.1792,461.7236
0.1,20000,0.7,15,652.2879,463.6716
0.1,20000,0.7,16,657.357,466.149
0.1,20000,0.7,17,656.283,469.2063
0.1,20000,0.7,18,644.3517,462.7659
0.1,20000,0.7,19,655.301,468.4345
0.1,20000,0.8,0,667.3031,533.3151
0.1,20000,0.8,1,654.3399,516.5402
0.1,20000,0.8,2,667.3346,526.4029
0.1,20000,0.8,3,665.8259,532.6131
0.1,20000,0.8,4,659.9591,533.5095
0.1,20000,0.8,5,664.4001,538.1719
0.1,20000,0.8,6,655.557,501.7429
0.1,20000,0.8,7,655.2124,529.028
0.1,20000,0.8,8,663.7068,518.7239
0.1,20000,0.8,9,659.332,515.4638
0.1,20000,0.8,10,649.6312,515.7785
0.1,20000,0.8,11,658.9799,532.1674
0.1,20000,0.8,12,654.7372,515.6897
0.1,20000,0.8,13,662.7916,528.3171
0.1,20000,0.8,14,669.6007,523.7223
0.1,20000,0.8,15,645.6158,510.5403
0.1,20000,0.8,16,687.1873,555.7828
0.1,20000,0.8,17,640.9513,510.6298
0.1,20000,0.8,18,651.7094,523.3299
0.1,20000,0.8,19,669.0126,532.5656
