b_p,network,h_p,lambda,gamma,run_index,active_set,majority
0.01,hersheycareers,0.5,0.8,0.2,3,321.438,124.095
0.01,hersheycareers,0.5,0.8,0.2,4,321.714,122.899
0.01,hersheycareers,0.5,0.8,0.2,5,320.302,121.007
0.01,hersheycareers,0.5,0.8,0.2,6,321.887,124.245
0.01,hersheycareers,0.5,0.8,0.2,7,321.847,123.881
0.01,hersheycareers,0.5,0.8,0.2,8,321.346,123.916
0.01,hersheycareers,0.5,0.8,0.2,9,322.146,125.511
0.01,hersheycareers,0.5,0.8,0.3,0,326.121,138.619
0.01,hersheycareers,0.5,0.8,0.3,1,325.7,138.235
0.01,hersheycareers,0.5,0.8,0.3,2,326.507,138.637
0.01,hersheycareers,0.5,0.8,0.3,3,325.565,138.227
0.01,hersheycareers,0.5,0.8,0.3,4,325.135,137.138
0.01,hersheycareers,0.5,0.8,0.3,5,325.224,137.415
0.01,hersheycareers,0.5,0.8,0.3,6,325.871,138.392
0.01,hersheycareers,0.5,0.8,0.3,7,325.584,138.722
0.01,hersheycareers,0.5,0.8,0.3,8,325.402,138.199
0.01,hersheycareers,0.5,0.8,0.3,9,325.484,138.374
0.01,hersheycareers,0.5,0.8,0.4,0,327.97,156.031
0.01,hersheycareers,0.5,0.8,0.4,1,328.648,157.087
0.01,hersheycareers,0.5,0.8,0.4,2,328.961,156.309
0.01,hersheycareers,0.5,0.8,0.4,3,327.939,156.119
0.01,hersheycareers,0.5,0.8,0.4,4,328.247,154.037
0.01,hersheycareers,0.5,0.8,0.4,5,328.789,155.469
0.01,hersheycareers,0.5,0.8,0.4,6,328.608,156.017
0.01,hersheycareers,0.5,0.8,0.4,7,329.329,157.418
0.01,hersheycareers,0.5,0.8,0.4,8,329.108,157.535
0.01,hersheycareers,0.5,0.8,0.4,9,329.607,157.693
0.01,hersheycareers,0.5,0.8,0.5,0,330.707,180.101
0.01,hersheycareers,0.5,0.8,0.5,1,330.824,179.495
0.01,hersheycareers,0.5,0.8,0.5,2,331.187,179.469
0.01,hersheycareers,0.5,0.8,0.5,3,331.129,178.765
0.01,hersheycareers,0.5,0.8,0.5,4,331.106,179.651
0.01,hersheycareers,0.5,0.8,0.5,5,330.779,178.476
0.01,hersheycareers,0.5,0.8,0.5,6,330.708,178.167
0.01,hersheycareers,0.5,0.8,0.5,7,330.834,179.901
0.01,hersheycareers,0.5,0.8,0.5,8,331.473,178.616
0.01,hersheycareers,0.5,0.8,0.5,9,331.17,178.507
0.01,hersheycareers,0.5,0.8,0.6,0,332.348,206.032
0.01,hersheycareers,0.5,0.8,0.6,1,332.757,206.32
0.01,hersheycareers,0.5,0.8,0.6,2,332.651,206.876
0.01,hersheycareers,0.5,0.8,0.6,3,331.826,205.423
0.01,hersheycareers,0.5,0.8,0.6,4,331.948,206.251
0.01,hersheycareers,0.5,0.8,0.6,5,331.769,205.692
0.01,hersheycareers,0.5,0.8,0.6,6,331.956,205.749
0.01,hersheycareers,0.5,0.8,0.6,7,331.897,205.625
0.01,hersheycareers,0.5,0.8,0.6,8,332.426,207.021
0.01,hersheycareers,0.5,0.8,0.6,9,332.68,206.977
0.01,hersheycareers,0.5,0.8,0.7,0,332.627,233.174
0.01,hersheycareers,0.5,0.8,0.7,1,333.129,234.743
0.01,hersheycareers,0.5,0.8,0.7,2,332.556,234.037
0.01,hersheycareers,0.5,0.8,0.7,3,332.541,235.06
0.01,hersheycareers,0.5,0.8,0.7,4,333.297,234.717
0.01,hersheycareers,0.5,0.8,0.7,5,333.53,234.048
0.01,hersheycareers,0.5,0.8,0.7,6,333.172,234.728
0.01,hersheycareers,0.5,0.8,0.7,7,333.016,235.25
0.01,hersheycareers,0.5,0.8,0.7,8,333.356,233.796
0.01,hersheycareers,0.5,0.8,0.7,9,333.411,234.865
0.01,hersheycareers,0.5,0.8,0.8,0,332.682,259.767
0.01,hersheycareers,0.5,0.8,0.8,1,332.069,260.328
0.01,hersheycareers,0.5,0.8,0.8,2,333.049,260.444
0.01,hersheycareers,0.5,0.8,0.8,3,332.853,259.613
0.01,hersheycareers,0.5,0.8,0.8,4,332.64,259.017
0.01,hersheycareers,0.5,0.8,0.8,5,332.395,259.866
0.01,hersheycareers,0.5,0.8,0.8,6,332.833,261.381
0.01,hersheycareers,0.5,0.8,0.8,7,332.025,260.398
0.01,hersheycareers,0.5,0.8,0.8,8,332.11,260.463
0.01,hersheycareers,0.5,0.8,0.8,9,332.621,260.348
0.01,hersheycareers,0.5,0.8,0.9,0,330.46,278.244
0.01,hersheycareers,0.5,0.8,0.9,1,329.677,277.529
0.01,hersheycareers,0.5,0.8,0.9,2,330.502,276.797
0.01,hersheycareers,0.5,0.8,0.9,3,331.161,278.383
0.01,hersheycareers,0.5,0.8,0.9,4,330.223,278.597
0.01,hersheycareers,0.5,0.8,0.9,5,330.561,278.517
0.01,hersheycareers,0.5,0.8,0.9,6,330.241,278.115
0.01,hersheycareers,0.5,0.8,0.9,7,330.457,277.516
0.01,hersheycareers,0.5,0.8,0.9,8,330.052,277.604
0.01,hersheycareers,0.5,0.8,0.9,9,330.905,276.931
0.01,hersheycareers,0.5,1.0,0.1,0,312.663,101.088
0.01,hersheycareers,0.5,1.0,0.1,1,312.113,101.197
0.01,hersheycareers,0.5,1.0,0.1,2,311.606,99.361
0.01,hersheycareers,0.5,1.0,0.1,3,311.379,99.851
0.01,hersheycareers,0.5,1.0,0.1,4,312.735,102.463
0.01,hersheycareers,0.5,1.0,0.1,5,311.11,99.419
0.01,hersheycareers,0.5,1.0,0.1,6,311.093,99.24
0.01,hersheycareers,0.5,1.0,0.1,7,312.749,101.236
0.01,hersheycareers,0.5,1.0,0.1,8,312.871,102.375
0.01,hersheycareers,0.5,1.0,0.1,9,312.499,101.303
0.01,hersheycareers,0.5,1.0,0.2,0,319.969,120.675
0.01,hersheycareers,0.5,1.0,0.2,1,320.017,119.564
0.01,hersheycareers,0.5,1.0,0.2,2,319.984,119.685
0.01,hersheycareers,0.5,1.0,0.2,3,320.025,119.006
0.01,hersheycareers,0.5,1.0,0.2,4,319.922,119.014
0.01,hersheycareers,0.5,1.0,0.2,5,320.36,120.342
0.01,hersheycareers,0.5,1.0,0.2,6,321.189,121.513
0.01,hersheycareers,0.5,1.0,0.2,7,320.148,119.751
0.01,hersheycareers,0.5,1.0,0.2,8,319.487,118.294
0.01,hersheycareers,0.5,1.0,0.2,9,321.005,120.924
0.01,hersheycareers,0.5,1.0,0.3,0,324.859,135.92
0.01,hersheycareers,0.5,1.0,0.3,1,326.188,137.577
0.01,hersheycareers,0.5,1.0,0.3,2,325.466,136.385
0.01,hersheycareers,0.5,1.0,0.3,3,324.871,135.881
0.01,hersheycareers,0.5,1.0,0.3,4,325.448,135.812
0.01,hersheycareers,0.5,1.0,0.3,5,325.227,137.195
0.01,hersheycareers,0.5,1.0,0.3,6,325.07,136.254
0.01,hersheycareers,0.5,1.0,0.3,7,324.666,135.39
0.01,hersheycareers,0.5,1.0,0.3,8,325.604,135.931
0.01,hersheycareers,0.5,1.0,0.3,9,325.421,135.722
0.01,hersheycareers,0.5,1.0,0.4,0,328.351,156.293
0.01,hersheycareers,0.5,1.0,0.4,1,328.926,154.708
0.01,hersheycareers,0.5,1.0,0.4,2,328.555,154.553
0.01,hersheycareers,0.5,1.0,0.4,3,329.074,155.843
0.01,hersheycareers,0.5,1.0,0.4,4,328.966,155.747
0.01,hersheycareers,0.5,1.0,0.4,5,329.044,154.505
0.01,hersheycareers,0.5,1.0,0.4,6,328.366,154.351
0.01,hersheycareers,0.5,1.0,0.4,7,328.211,153.097
0.01,hersheycareers,0.5,1.0,0.4,8,328.061,154.599
0.01,hersheycareers,0.5,1.0,0.4,9,328.636,155.31
0.01,hersheycareers,0.5,1.0,0.5,0,330.161,177.462
0.01,hersheycareers,0.5,1.0,0.5,1,330.674,177.517
0.01,hersheycareers,0.5,1.0,0.5,2,330.627,177.284
0.01,hersheycareers,0.5,1.0,0.5,3,330.206,176.041
0.01,hersheycareers,0.5,1.0,0.5,4,330.906,177.54
0.01,hersheycareers,0.5,1.0,0.5,5,331.565,178.326
0.01,hersheycareers,0.5,1.0,0.5,6,330.997,177.558
0.01,hersheycareers,0.5,1.0,0.5,7,330.989,177.789
0.01,hersheycareers,0.5,1.0,0.5,8,331.476,177.676
0.01,hersheycareers,0.5,1.0,0.5,9,330.238,178.141
0.01,hersheycareers,0.5,1.0,0.6,0,332.048,204.328
0.01,hersheycareers,0.5,1.0,0.6,1,331.686,205.344
0.01,hersheycareers,0.5,1.0,0.6,2,331.5,204.113
0.01,hersheycareers,0.5,1.0,0.6,3,331.864,204.306
0.01,hersheycareers,0.5,1.0,0.6,4,331.952,204.645
0.01,hersheycareers,0.5,1.0,0.6,5,331.892,204.43
0.01,hersheycareers,0.5,1.0,0.6,6,332.359,204.626
0.01,hersheycareers,0.5,1.0,0.6,7,332.648,206.193
0.01,hersheycareers,0.5,1.0,0.6,8,332.276,204.992
